Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,4.860000,5.060000,4.820000,5.040000,5.040000,1656800
2021-12-08,5.080000,5.080000,4.870000,4.950000,4.950000,1094600
2021-12-09,4.920000,4.930000,4.810000,4.820000,4.820000,872900
2021-12-10,4.960000,5.050000,4.780000,4.950000,4.950000,1203200
2021-12-13,4.940000,4.940000,4.770000,4.790000,4.790000,1334600
2021-12-14,4.840000,4.920000,4.680000,4.710000,4.710000,1601300
2021-12-15,4.710000,4.870000,4.440000,4.850000,4.850000,2293800
2021-12-16,4.920000,5.000000,4.720000,4.760000,4.760000,1411600
2021-12-17,4.730000,4.910000,4.640000,4.760000,4.760000,3461000
2021-12-20,4.680000,4.870000,4.600000,4.800000,4.800000,1603500
2021-12-21,4.880000,4.980000,4.860000,4.940000,4.940000,1266800
2021-12-22,4.930000,4.950000,4.830000,4.930000,4.930000,884100
2021-12-23,4.930000,4.960000,4.850000,4.860000,4.860000,585600
2021-12-27,4.850000,4.970000,4.730000,4.930000,4.930000,1124200
2021-12-28,4.910000,4.960000,4.760000,4.780000,4.780000,1031700
2021-12-29,4.770000,4.910000,4.640000,4.800000,4.800000,1366300
2021-12-30,4.830000,4.920000,4.780000,4.830000,4.830000,1276800
2021-12-31,4.810000,4.900000,4.800000,4.810000,4.810000,779400
2022-01-03,4.820000,5.230000,4.820000,5.180000,5.180000,1637800
2022-01-04,5.230000,5.520000,5.230000,5.500000,5.500000,2128300
2022-01-05,5.520000,5.650000,5.160000,5.190000,5.190000,1655800
2022-01-06,5.290000,5.470000,5.090000,5.350000,5.350000,1332300
2022-01-07,5.350000,5.410000,5.160000,5.170000,5.170000,799100
2022-01-10,5.110000,5.300000,5.070000,5.230000,5.230000,813900
2022-01-11,5.280000,5.410000,5.150000,5.360000,5.360000,1480600
2022-01-12,5.470000,5.580000,5.150000,5.160000,5.160000,2152600
2022-01-13,5.170000,5.320000,5.110000,5.130000,5.130000,1206700
2022-01-14,5.150000,5.310000,5.080000,5.170000,5.170000,1251700
2022-01-18,5.200000,5.310000,5.080000,5.220000,5.220000,1529900
2022-01-19,5.260000,5.280000,4.980000,5.030000,5.030000,1596200
2022-01-20,5.100000,5.250000,4.870000,4.890000,4.890000,2336500
2022-01-21,4.880000,4.910000,4.640000,4.650000,4.650000,2847300
2022-01-24,4.630000,5.180000,4.570000,5.170000,5.170000,4820700
2022-01-25,5.100000,5.480000,4.970000,5.420000,5.420000,2440900
2022-01-26,5.510000,5.580000,5.100000,5.240000,5.240000,2104300
2022-01-27,5.300000,5.330000,4.890000,4.960000,4.960000,1953900
2022-01-28,4.980000,5.060000,4.780000,4.980000,4.980000,1505800
2022-01-31,4.960000,5.180000,4.930000,5.180000,5.180000,1855600
2022-02-01,5.150000,5.370000,5.030000,5.320000,5.320000,1844700
2022-02-02,5.290000,5.340000,5.050000,5.140000,5.140000,1457900
