Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,6.250000,6.300000,5.420000,5.550000,5.550000,42298500
2021-12-08,5.390000,5.750000,5.270000,5.650000,5.650000,12167700
2021-12-09,5.550000,5.740000,5.340000,5.380000,5.380000,7542600
2021-12-10,5.430000,5.550000,5.250000,5.380000,5.380000,6234500
2021-12-13,5.280000,5.320000,4.980000,5.050000,5.050000,7134500
2021-12-14,4.930000,5.150000,4.880000,5.000000,5.000000,6255200
2021-12-15,4.970000,5.230000,4.720000,5.190000,5.190000,8843100
2021-12-16,5.260000,5.320000,4.810000,4.840000,4.840000,8921200
2021-12-17,4.850000,5.250000,4.630000,5.140000,5.140000,18944100
2021-12-20,4.910000,4.910000,4.710000,4.780000,4.780000,8019100
2021-12-21,4.890000,4.970000,4.810000,4.950000,4.950000,5906300
2021-12-22,4.950000,4.950000,4.780000,4.850000,4.850000,4833200
2021-12-23,4.840000,4.930000,4.710000,4.840000,4.840000,5264000
2021-12-27,4.920000,4.970000,4.660000,4.920000,4.920000,7679000
2021-12-28,4.850000,4.890000,4.600000,4.610000,4.610000,7376300
2021-12-29,4.580000,4.600000,4.350000,4.390000,4.390000,6266800
2021-12-30,4.400000,4.570000,4.370000,4.420000,4.420000,7823500
2021-12-31,4.410000,4.550000,4.280000,4.280000,4.280000,5530400
2022-01-03,4.380000,4.900000,4.350000,4.860000,4.860000,10814900
2022-01-04,4.840000,4.880000,4.500000,4.820000,4.820000,8251200
2022-01-05,4.800000,4.830000,4.340000,4.380000,4.380000,8013000
2022-01-06,4.400000,4.510000,4.140000,4.240000,4.240000,8637900
2022-01-07,4.300000,4.370000,4.100000,4.170000,4.170000,5162100
2022-01-10,4.070000,4.110000,3.920000,4.060000,4.060000,7280100
2022-01-11,4.060000,4.350000,4.010000,4.320000,4.320000,6586700
2022-01-12,4.350000,4.420000,4.170000,4.280000,4.280000,4562100
2022-01-13,4.340000,4.340000,4.040000,4.050000,4.050000,4043200
2022-01-14,4.010000,4.170000,3.960000,4.100000,4.100000,4694100
2022-01-18,4.030000,4.070000,3.840000,3.850000,3.850000,6547600
2022-01-19,3.880000,3.960000,3.740000,3.770000,3.770000,5427800
2022-01-20,3.820000,3.910000,3.480000,3.510000,3.510000,9824700
2022-01-21,3.410000,3.550000,3.270000,3.290000,3.290000,11461600
2022-01-24,3.130000,3.350000,2.850000,3.330000,3.330000,14414700
2022-01-25,3.210000,3.370000,3.140000,3.320000,3.320000,5859200
2022-01-26,3.460000,3.540000,3.160000,3.210000,3.210000,7583700
2022-01-27,3.380000,3.380000,2.880000,2.920000,2.920000,11491900
2022-01-28,2.940000,3.060000,2.810000,3.010000,3.010000,8855000
2022-01-31,3.040000,3.480000,3.030000,3.420000,3.420000,8748000
2022-02-01,3.520000,3.600000,3.310000,3.530000,3.530000,8990800
2022-02-02,3.550000,3.570000,3.180000,3.210000,3.210000,7550200
2022-02-03,3.130000,3.210000,2.930000,2.940000,2.940000,8494300
2022-02-04,3.020000,3.250000,2.980000,3.180000,3.180000,9828800
2022-02-07,3.170000,3.310000,3.100000,3.220000,3.220000,10168600
2022-02-08,3.210000,3.300000,3.150000,3.280000,3.280000,6181500
2022-02-09,3.390000,3.730000,3.390000,3.630000,3.630000,10309700
2022-02-10,3.480000,3.900000,3.480000,3.610000,3.610000,9957900
2022-02-11,3.730000,3.730000,3.420000,3.480000,3.480000,7482900
2022-02-14,3.450000,3.590000,3.360000,3.380000,3.380000,5688700
2022-02-15,3.470000,3.700000,3.430000,3.670000,3.670000,5481000
2022-02-16,3.630000,3.660000,3.520000,3.580000,3.580000,4610600
2022-02-17,3.550000,3.570000,3.240000,3.280000,3.280000,6050500
2022-02-18,3.290000,3.360000,3.110000,3.110000,3.110000,5538500
2022-02-22,2.980000,3.180000,2.970000,3.010000,3.010000,7744700
2022-02-23,3.080000,3.230000,3.010000,3.030000,3.030000,6998100
2022-02-24,2.820000,3.390000,2.790000,3.360000,3.360000,13050700
2022-02-25,3.060000,3.180000,2.950000,3.160000,3.160000,10577300
2022-02-28,3.270000,3.660000,3.270000,3.550000,3.550000,13095800
2022-03-01,3.560000,3.640000,3.420000,3.590000,3.590000,9446900
2022-03-02,3.620000,3.650000,3.500000,3.580000,3.580000,5512700
2022-03-03,3.600000,3.600000,3.310000,3.370000,3.370000,5040000
2022-03-04,3.340000,3.460000,3.250000,3.310000,3.310000,7060300
2022-03-07,3.370000,3.670000,3.320000,3.520000,3.520000,11427000
2022-03-08,3.590000,4.580000,3.560000,4.530000,4.530000,27311500
2022-03-09,4.290000,4.540000,4.090000,4.530000,4.530000,15482600
2022-03-10,4.440000,4.600000,4.070000,4.260000,4.260000,10079300
2022-03-11,4.270000,4.560000,4.140000,4.160000,4.160000,8019500
2022-03-14,4.180000,4.180000,3.530000,3.610000,3.610000,9871500
2022-03-15,3.560000,3.670000,3.400000,3.650000,3.650000,6683900
2022-03-16,3.700000,3.850000,3.600000,3.800000,3.800000,8763600
2022-03-17,3.830000,4.500000,3.820000,4.460000,4.460000,11727400
2022-03-18,4.360000,4.540000,4.280000,4.310000,4.310000,11313600
2022-03-21,4.740000,4.860000,4.400000,4.590000,4.590000,11624500
2022-03-22,5.190000,5.490000,4.600000,4.690000,4.690000,34416400
2022-03-23,4.710000,4.910000,4.400000,4.530000,4.530000,11496200
2022-03-24,4.560000,4.730000,4.300000,4.710000,4.710000,9902200
2022-03-25,4.570000,4.850000,4.550000,4.850000,4.850000,7634700
2022-03-28,4.810000,4.810000,4.480000,4.560000,4.560000,7841500
2022-03-29,4.640000,4.880000,4.550000,4.830000,4.830000,8766100
2022-03-30,4.850000,5.040000,4.720000,4.800000,4.800000,7842700
2022-03-31,4.820000,5.000000,4.660000,4.680000,4.680000,6039500
2022-04-01,4.710000,4.930000,4.700000,4.830000,4.830000,7455200
2022-04-04,4.840000,5.120000,4.810000,5.080000,5.080000,8087500
2022-04-05,5.100000,5.240000,4.780000,4.800000,4.800000,7999300
2022-04-06,4.640000,4.760000,4.510000,4.710000,4.710000,8024000
2022-04-07,4.720000,4.780000,4.410000,4.580000,4.580000,6511300
2022-04-08,4.530000,4.560000,4.280000,4.330000,4.330000,5138400
2022-04-11,4.390000,4.890000,4.320000,4.630000,4.630000,11924300
2022-04-12,4.720000,4.860000,4.540000,4.580000,4.580000,6468600
2022-04-13,4.650000,4.830000,4.600000,4.780000,4.780000,6718100
2022-04-14,4.780000,4.910000,4.560000,4.570000,4.570000,7658000
2022-04-18,4.580000,4.620000,4.380000,4.410000,4.410000,4661400
2022-04-19,4.400000,4.550000,4.390000,4.390000,4.390000,4185200
2022-04-20,4.440000,4.440000,4.180000,4.300000,4.300000,5050900
2022-04-21,4.390000,4.400000,4.020000,4.050000,4.050000,7563700
2022-04-22,4.030000,4.200000,3.800000,3.880000,3.880000,21055200
2022-04-25,3.760000,3.950000,3.610000,3.850000,3.850000,7507000
2022-04-26,3.820000,3.930000,3.680000,3.680000,3.680000,5706100
2022-04-27,3.710000,3.850000,3.670000,3.740000,3.740000,4997400
2022-04-28,3.780000,3.890000,3.600000,3.850000,3.850000,4741700
2022-04-29,3.800000,3.960000,3.700000,3.710000,3.710000,4847800
2022-05-02,3.740000,3.850000,3.590000,3.820000,3.820000,6499400
2022-05-03,3.800000,4.050000,3.790000,4.020000,4.020000,5951200
2022-05-04,4.070000,4.250000,3.840000,4.240000,4.240000,6666300
2022-05-05,4.170000,4.230000,3.840000,3.950000,3.950000,5857300
2022-05-06,3.940000,3.950000,3.670000,3.820000,3.820000,6956100
2022-05-09,3.690000,3.710000,3.070000,3.080000,3.080000,12025800
2022-05-10,3.310000,3.340000,2.900000,3.170000,3.170000,10768800
2022-05-11,3.130000,3.500000,3.070000,3.090000,3.090000,10732700
2022-05-12,3.020000,3.240000,2.920000,3.110000,3.110000,10916300
2022-05-13,3.210000,3.640000,3.200000,3.600000,3.600000,9856600
2022-05-16,3.580000,4.000000,3.570000,3.680000,3.680000,7802300
2022-05-17,3.810000,3.940000,3.710000,3.900000,3.900000,6966500
2022-05-18,3.850000,4.090000,3.650000,3.740000,3.740000,8256700
2022-05-19,3.700000,3.890000,3.620000,3.740000,3.740000,6094200
2022-05-20,3.840000,3.850000,3.500000,3.700000,3.700000,4679500
2022-05-23,3.660000,3.800000,3.550000,3.790000,3.790000,4873800
2022-05-24,3.710000,3.750000,3.480000,3.550000,3.550000,5627100
2022-05-25,3.490000,3.780000,3.470000,3.760000,3.760000,5458300
2022-05-26,3.740000,3.990000,3.720000,3.950000,3.950000,4913100
2022-05-27,4.010000,4.240000,3.960000,4.240000,4.240000,6937600
2022-05-31,4.270000,4.380000,4.100000,4.200000,4.200000,6429300
2022-06-01,4.210000,4.350000,4.010000,4.090000,4.090000,6839400
2022-06-02,4.070000,4.810000,4.030000,4.740000,4.740000,10887300
2022-06-03,4.650000,4.740000,4.330000,4.570000,4.570000,8472700
2022-06-06,4.100000,4.110000,3.010000,3.040000,3.040000,58167200
2022-06-07,3.160000,3.170000,2.940000,3.140000,3.140000,27969900
2022-06-08,3.100000,3.160000,2.970000,3.100000,3.100000,18847600
2022-06-09,3.060000,3.090000,2.860000,2.940000,2.940000,16831500
2022-06-10,2.850000,2.960000,2.730000,2.820000,2.820000,16579300
2022-06-13,2.640000,2.710000,2.540000,2.690000,2.690000,13646000
2022-06-14,2.710000,2.740000,2.610000,2.680000,2.680000,8788800
2022-06-15,2.720000,2.750000,2.410000,2.600000,2.600000,19758300
2022-06-16,2.540000,2.580000,2.480000,2.580000,2.580000,11451300
2022-06-17,2.590000,2.660000,2.400000,2.490000,2.490000,59049200
2022-06-21,2.580000,2.760000,2.550000,2.710000,2.710000,16801200
2022-06-22,2.590000,2.700000,2.490000,2.490000,2.490000,14299200
2022-06-23,2.520000,2.580000,2.390000,2.530000,2.530000,15180400
2022-06-24,2.560000,2.630000,2.470000,2.500000,2.500000,13708800
2022-06-27,2.590000,2.760000,2.500000,2.730000,2.730000,17325300
2022-06-28,2.770000,2.810000,2.610000,2.650000,2.650000,10011300
2022-06-29,2.650000,2.660000,2.430000,2.450000,2.450000,13716200
2022-06-30,2.420000,2.480000,2.290000,2.350000,2.350000,14028800
2022-07-01,2.370000,2.390000,2.260000,2.360000,2.360000,9825000
2022-07-05,2.280000,2.360000,2.180000,2.330000,2.330000,11796600
2022-07-06,2.300000,2.390000,2.250000,2.360000,2.360000,9011400
2022-07-07,2.380000,2.600000,2.360000,2.530000,2.530000,12860400
2022-07-08,2.490000,2.550000,2.400000,2.490000,2.490000,8082200
2022-07-11,2.430000,2.470000,2.320000,2.340000,2.340000,7155200
2022-07-12,2.320000,2.370000,2.250000,2.340000,2.340000,6709600
2022-07-13,2.290000,2.440000,2.270000,2.390000,2.390000,7339300
2022-07-14,2.330000,2.360000,2.270000,2.340000,2.340000,9000300
2022-07-15,2.380000,2.410000,2.290000,2.400000,2.400000,10424700
2022-07-18,2.450000,2.570000,2.440000,2.450000,2.450000,9048100
2022-07-19,2.480000,2.660000,2.460000,2.660000,2.660000,7597700
2022-07-20,2.620000,2.860000,2.610000,2.860000,2.860000,9528700
2022-07-21,2.820000,2.840000,2.660000,2.720000,2.720000,7646700
2022-07-22,3.000000,3.020000,2.440000,2.450000,2.450000,27618700
2022-07-25,2.520000,2.560000,2.390000,2.550000,2.550000,8801800
2022-07-26,2.500000,2.530000,2.380000,2.420000,2.420000,7430600
2022-07-27,2.480000,2.600000,2.410000,2.590000,2.590000,8051800
2022-07-28,2.660000,2.820000,2.590000,2.780000,2.780000,14923700
2022-07-29,2.750000,2.950000,2.640000,2.940000,2.940000,13240700
2022-08-01,2.880000,2.930000,2.770000,2.880000,2.880000,8810800
2022-08-02,2.860000,3.120000,2.840000,3.070000,3.070000,11643400
2022-08-03,3.130000,3.150000,2.930000,3.060000,3.060000,10320700
2022-08-04,3.020000,3.110000,3.000000,3.030000,3.030000,7700500
2022-08-05,3.060000,3.320000,3.030000,3.260000,3.260000,15556000
2022-08-08,3.410000,3.420000,3.220000,3.230000,3.230000,14936700
2022-08-09,3.120000,3.480000,3.110000,3.360000,3.360000,13430900
2022-08-10,3.480000,3.480000,3.260000,3.480000,3.480000,12268900
2022-08-11,3.560000,3.690000,3.450000,3.580000,3.580000,11954500
2022-08-12,3.590000,3.720000,3.530000,3.720000,3.720000,7523200
2022-08-15,3.690000,3.730000,3.550000,3.600000,3.600000,7458100
2022-08-16,3.580000,3.630000,3.480000,3.580000,3.580000,6153600
2022-08-17,3.530000,3.540000,3.310000,3.350000,3.350000,9817700
2022-08-18,3.380000,3.500000,3.350000,3.480000,3.480000,7554100
2022-08-19,3.410000,3.440000,3.190000,3.200000,3.200000,7286000
2022-08-22,3.080000,3.120000,3.020000,3.030000,3.030000,6600300
2022-08-23,3.100000,3.250000,3.090000,3.160000,3.160000,6798200
2022-08-24,3.150000,3.320000,3.140000,3.290000,3.290000,5114400
2022-08-25,3.320000,3.340000,3.200000,3.260000,3.260000,5440900
2022-08-26,3.260000,3.280000,3.080000,3.110000,3.110000,4042400
2022-08-29,3.040000,3.220000,3.040000,3.120000,3.120000,4815700
2022-08-30,3.120000,3.160000,3.000000,3.030000,3.030000,5403200
2022-08-31,3.050000,3.150000,3.000000,3.130000,3.130000,5366200
2022-09-01,3.060000,3.060000,2.800000,2.860000,2.860000,10033400
2022-09-02,2.940000,2.950000,2.790000,2.820000,2.820000,4462900
2022-09-06,2.840000,2.860000,2.630000,2.630000,2.630000,9388600
2022-09-07,2.610000,2.630000,2.530000,2.600000,2.600000,8025900
2022-09-08,2.580000,2.800000,2.560000,2.790000,2.790000,6288600
2022-09-09,2.850000,2.900000,2.820000,2.840000,2.840000,6012400
2022-09-12,2.870000,2.890000,2.740000,2.830000,2.830000,5516700
2022-09-13,2.690000,2.740000,2.610000,2.620000,2.620000,8536800
2022-09-14,2.620000,2.690000,2.550000,2.650000,2.650000,7119000
2022-09-15,2.590000,2.620000,2.450000,2.500000,2.500000,12330800
2022-09-16,2.470000,2.590000,2.420000,2.550000,2.550000,29708300
2022-09-19,2.470000,2.630000,2.470000,2.610000,2.610000,7071100
2022-09-20,2.550000,2.580000,2.480000,2.520000,2.520000,5974500
2022-09-21,2.540000,2.590000,2.450000,2.470000,2.470000,7523500
2022-09-22,2.450000,2.510000,2.340000,2.350000,2.350000,7415500
2022-09-23,2.300000,2.320000,2.170000,2.210000,2.210000,10674700
2022-09-26,2.170000,2.330000,2.120000,2.140000,2.140000,8693000
2022-09-27,2.210000,2.300000,2.140000,2.260000,2.260000,7593100
2022-09-28,2.240000,2.450000,2.240000,2.410000,2.410000,7115800
2022-09-29,2.320000,2.400000,2.240000,2.280000,2.280000,6773200
2022-09-30,2.280000,2.350000,2.240000,2.280000,2.280000,5489900
2022-10-03,2.330000,2.430000,2.270000,2.420000,2.420000,7674400
2022-10-04,2.460000,2.580000,2.450000,2.550000,2.550000,8231100
2022-10-05,2.470000,2.520000,2.380000,2.470000,2.470000,6406900
2022-10-06,2.460000,2.580000,2.420000,2.490000,2.490000,4896900
2022-10-07,2.420000,2.460000,2.340000,2.350000,2.350000,5771000
2022-10-10,2.340000,2.370000,2.210000,2.230000,2.230000,6379700
2022-10-11,2.200000,2.230000,2.090000,2.150000,2.150000,8873100
2022-10-12,2.120000,2.160000,2.010000,2.040000,2.040000,8480000
2022-10-13,1.960000,2.130000,1.910000,2.130000,2.130000,9498900
2022-10-14,2.150000,2.190000,2.000000,2.000000,2.000000,6376100
2022-10-17,2.120000,2.230000,2.090000,2.220000,2.220000,9263200
2022-10-18,2.320000,2.370000,2.200000,2.270000,2.270000,9062400
2022-10-19,2.210000,2.270000,2.150000,2.230000,2.230000,5176300
2022-10-20,2.210000,2.280000,2.110000,2.130000,2.130000,6687900
2022-10-21,2.150000,2.230000,2.080000,2.210000,2.210000,7540500
2022-10-24,2.200000,2.200000,2.080000,2.110000,2.110000,5899600
2022-10-25,2.140000,2.300000,2.100000,2.270000,2.270000,7869100
2022-10-26,2.230000,2.460000,2.210000,2.340000,2.340000,7775400
