Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,1.540000,1.650000,1.520000,1.550000,1.550000,691400
2021-12-08,1.550000,1.640000,1.550000,1.630000,1.630000,460700
2021-12-09,1.590000,1.630000,1.520000,1.530000,1.530000,344500
2021-12-10,1.580000,1.580000,1.480000,1.490000,1.490000,308500
2021-12-13,1.500000,1.520000,1.400000,1.450000,1.450000,458300
2021-12-14,1.410000,1.490000,1.410000,1.450000,1.450000,319200
2021-12-15,1.430000,1.480000,1.330000,1.480000,1.480000,887000
2021-12-16,1.470000,1.550000,1.440000,1.510000,1.510000,769500
2021-12-17,1.490000,1.580000,1.360000,1.370000,1.370000,1575500
2021-12-20,1.340000,1.400000,1.270000,1.400000,1.400000,980100
2021-12-21,1.400000,1.410000,1.340000,1.400000,1.400000,633500
2021-12-22,1.360000,1.420000,1.350000,1.400000,1.400000,377500
2021-12-23,1.390000,1.550000,1.370000,1.440000,1.440000,515900
2021-12-27,1.430000,1.450000,1.390000,1.390000,1.390000,379300
2021-12-28,1.390000,1.410000,1.350000,1.360000,1.360000,442000
2021-12-29,1.320000,1.350000,1.250000,1.260000,1.260000,844200
2021-12-30,1.240000,1.340000,1.240000,1.290000,1.290000,803900
2021-12-31,1.330000,1.330000,1.270000,1.290000,1.290000,486600
2022-01-03,1.310000,1.360000,1.290000,1.320000,1.320000,691000
2022-01-04,1.340000,1.340000,1.250000,1.300000,1.300000,450100
2022-01-05,1.430000,1.840000,1.400000,1.470000,1.470000,10541600
2022-01-06,1.420000,1.450000,1.300000,1.330000,1.330000,1696600
2022-01-07,1.300000,1.450000,1.250000,1.420000,1.420000,1216400
2022-01-10,1.430000,1.440000,1.350000,1.420000,1.420000,575400
2022-01-11,1.450000,1.520000,1.410000,1.510000,1.510000,604600
2022-01-12,1.540000,1.620000,1.530000,1.600000,1.600000,911100
2022-01-13,1.620000,1.630000,1.480000,1.520000,1.520000,1187700
2022-01-14,1.520000,1.530000,1.410000,1.530000,1.530000,975600
2022-01-18,1.580000,1.580000,1.410000,1.480000,1.480000,975100
2022-01-19,1.490000,1.650000,1.480000,1.610000,1.610000,998700
2022-01-20,1.620000,1.640000,1.520000,1.520000,1.520000,605700
2022-01-21,1.500000,1.550000,1.440000,1.450000,1.450000,782200
2022-01-24,1.390000,1.440000,1.290000,1.420000,1.420000,836700
2022-01-25,1.430000,1.520000,1.400000,1.500000,1.500000,414200
2022-01-26,1.520000,1.520000,1.370000,1.400000,1.400000,487200
2022-01-27,1.340000,1.440000,1.330000,1.360000,1.360000,376100
2022-01-28,1.340000,1.380000,1.320000,1.370000,1.370000,298700
2022-01-31,1.360000,1.500000,1.360000,1.470000,1.470000,475100
2022-02-01,1.520000,1.560000,1.440000,1.500000,1.500000,440900
2022-02-02,1.510000,1.560000,1.490000,1.520000,1.520000,560300
2022-02-03,1.510000,1.520000,1.420000,1.430000,1.430000,438700
2022-02-04,1.420000,1.500000,1.410000,1.500000,1.500000,350100
2022-02-07,1.500000,1.530000,1.460000,1.460000,1.460000,296800
2022-02-08,1.460000,1.500000,1.460000,1.480000,1.480000,289500
2022-02-09,1.480000,1.500000,1.430000,1.460000,1.460000,259000
2022-02-10,1.460000,1.520000,1.420000,1.440000,1.440000,779900
2022-02-11,1.460000,1.470000,1.390000,1.440000,1.440000,414500
2022-02-14,1.420000,1.460000,1.370000,1.370000,1.370000,433500
2022-02-15,1.410000,1.440000,1.390000,1.420000,1.420000,240000
